k1 = 2, k2 = 4, k3 = 8, a11 = 0, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -2, b12 = -2, b13 = -192, b23 = 0
k1 = 2, k2 = 4, k3 = 8, a11 = 0, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -2, a32 = 0, a33 = -1, b12 = -2, b13 = -192, b23 = 0
k1 = 2, k2 = 4, k3 = 8, a11 = 1, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -1, b12 = -2, b13 = -192, b23 = 0
k1 = 2, k2 = 4, k3 = 8, a11 = 0, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 1, a33 = -1, b12 = -2, b13 = -192, b23 = 0
k1 = 2, k2 = 4, k3 = 9, a11 = 0, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -1, b12 = -2, b13 = -384, b23 = 0
k1 = 2, k2 = 4, k3 = 9, a11 = -1, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = 0, b12 = -2, b13 = -384, b23 = 0
k1 = 2, k2 = 4, k3 = 9, a11 = 0, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -1, a33 = 0, b12 = -2, b13 = -384, b23 = 0
k1 = 2, k2 = 4, k3 = 10, a11 = 0, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = 0, b12 = -2, b13 = -768, b23 = 0
k1 = 2, k2 = 4, k3 = 9, a11 = 0, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = -2, b13 = -384, b23 = 0
k1 = 2, k2 = 4, k3 = 9, a11 = 0, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 1, a33 = 0, b12 = -2, b13 = -384, b23 = 0
k1 = 2, k2 = 4, k3 = 9, a11 = 0, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = 1, b12 = -2, b13 = -384, b23 = 0
k1 = 2, k2 = 4, k3 = 9, a11 = 1, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = 0, b12 = -2, b13 = -384, b23 = 0
k1 = 2, k2 = 4, k3 = 9, a11 = 0, a12 = 0, a13 = 2, a21 = -2, a22 = 0, a23 = 0, a31 = -1, a32 = 0, a33 = -1, b12 = -2, b13 = -384, b23 = 0
k1 = 2, k2 = 4, k3 = 9, a11 = 0, a12 = 0, a13 = 2, a21 = 2, a22 = 0, a23 = 0, a31 = -1, a32 = 0, a33 = -1, b12 = -2, b13 = -384, b23 = 0
k1 = 2, k2 = 4, k3 = 9, a11 = 0, a12 = 0, a13 = 2, a21 = 0, a22 = 0, a23 = -2, a31 = -1, a32 = 0, a33 = -1, b12 = -2, b13 = -384, b23 = 0
k1 = 2, k2 = 4, k3 = 9, a11 = 0, a12 = 0, a13 = 2, a21 = 0, a22 = 2, a23 = 0, a31 = -1, a32 = 0, a33 = -1, b12 = -2, b13 = -384, b23 = 0
k1 = 2, k2 = 5, k3 = 9, a11 = -1, a12 = 0, a13 = 0, a21 = 0, a22 = 0, a23 = -2, a31 = -1, a32 = 0, a33 = -1, b12 = -2, b13 = -192, b23 = 0
k1 = 1, k2 = 3, k3 = 5, a11 = -2, a12 = 2, a13 = -1, a21 = -1, a22 = -2, a23 = -3, a31 = -4, a32 = 2, a33 = 0, b12 = 2, b13 = -12, b23 = -4
k1 = 1, k2 = 3, k3 = 5, a11 = -2, a12 = 2, a13 = -1, a21 = 1, a22 = -2, a23 = -3, a31 = -4, a32 = 2, a33 = 0, b12 = 2, b13 = -12, b23 = -4
k1 = 1, k2 = 3, k3 = 5, a11 = -3, a12 = 2, a13 = -1, a21 = 0, a22 = -2, a23 = -3, a31 = -4, a32 = 2, a33 = 0, b12 = 2, b13 = -12, b23 = -4
k1 = 1, k2 = 3, k3 = 6, a11 = -2, a12 = 2, a13 = -1, a21 = 0, a22 = -2, a23 = -3, a31 = -4, a32 = 2, a33 = 0, b12 = 2, b13 = -24, b23 = -4
k1 = 1, k2 = 3, k3 = 5, a11 = -2, a12 = 3, a13 = -1, a21 = 0, a22 = -2, a23 = -3, a31 = -4, a32 = 2, a33 = 0, b12 = 2, b13 = -12, b23 = -4
k1 = 1, k2 = 3, k3 = 5, a11 = -2, a12 = 2, a13 = -1, a21 = 0, a22 = -3, a23 = -3, a31 = -4, a32 = 2, a33 = 0, b12 = 2, b13 = -12, b23 = -4
k1 = 1, k2 = 3, k3 = 6, a11 = -2, a12 = 2, a13 = -1, a21 = 0, a22 = -2, a23 = -4, a31 = -4, a32 = 0, a33 = 0, b12 = 2, b13 = -24, b23 = -5
k1 = 1, k2 = 3, k3 = 6, a11 = -2, a12 = 2, a13 = -1, a21 = 0, a22 = -2, a23 = -4, a31 = -4, a32 = 0, a33 = 0, b12 = 4, b13 = -8, b23 = -5
k1 = 1, k2 = 3, k3 = 6, a11 = -3, a12 = 3, a13 = -1, a21 = 0, a22 = -2, a23 = -4, a31 = -2, a32 = 0, a33 = 0, b12 = 4, b13 = -8, b23 = -5
k1 = 1, k2 = 3, k3 = 6, a11 = -4, a12 = 0, a13 = -1, a21 = -2, a22 = -2, a23 = -4, a31 = -2, a32 = 0, a33 = 0, b12 = 4, b13 = -8, b23 = -5
k1 = 1, k2 = 3, k3 = 6, a11 = -5, a12 = 0, a13 = -1, a21 = -1, a22 = -2, a23 = -4, a31 = -2, a32 = 0, a33 = 0, b12 = 4, b13 = -8, b23 = -5
k1 = 1, k2 = 3, k3 = 6, a11 = -4, a12 = 1, a13 = -1, a21 = -1, a22 = -2, a23 = -4, a31 = -2, a32 = 0, a33 = 0, b12 = 4, b13 = -8, b23 = -5
k1 = 1, k2 = 3, k3 = 7, a11 = -4, a12 = 0, a13 = -1, a21 = -1, a22 = -2, a23 = -4, a31 = -2, a32 = 0, a33 = 0, b12 = 4, b13 = -16, b23 = -5
k1 = 1, k2 = 3, k3 = 6, a11 = -4, a12 = 0, a13 = -1, a21 = -1, a22 = -3, a23 = -4, a31 = -2, a32 = 0, a33 = 0, b12 = 4, b13 = -8, b23 = -5
k1 = 1, k2 = 4, k3 = 6, a11 = -4, a12 = 0, a13 = -3, a21 = -2, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -1, b12 = -1, b13 = -8, b23 = -8
k1 = 1, k2 = 4, k3 = 6, a11 = -4, a12 = 2, a13 = -3, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -1, b12 = -1, b13 = -8, b23 = -8
k1 = 1, k2 = 4, k3 = 6, a11 = -4, a12 = 0, a13 = -3, a21 = 0, a22 = -2, a23 = 0, a31 = -3, a32 = 0, a33 = -1, b12 = -1, b13 = -8, b23 = -8
k1 = 1, k2 = 4, k3 = 6, a11 = -4, a12 = 0, a13 = -3, a21 = 0, a22 = -2, a23 = 2, a31 = -1, a32 = 0, a33 = -1, b12 = -1, b13 = -8, b23 = -8
k1 = 1, k2 = 4, k3 = 6, a11 = -4, a12 = 0, a13 = -3, a21 = 0, a22 = -4, a23 = 0, a31 = -1, a32 = 0, a33 = -1, b12 = -1, b13 = -8, b23 = -8
k1 = 1, k2 = 4, k3 = 6, a11 = -4, a12 = 0, a13 = -3, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -3, b12 = -1, b13 = -8, b23 = -8
k1 = 1, k2 = 4, k3 = 6, a11 = -5, a12 = 0, a13 = -3, a21 = 0, a22 = -2, a23 = 0, a31 = -2, a32 = 0, a33 = -1, b12 = -1, b13 = -8, b23 = -8
k1 = 1, k2 = 4, k3 = 6, a11 = -6, a12 = 0, a13 = -3, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -1, b12 = -1, b13 = -8, b23 = -8
k1 = 1, k2 = 4, k3 = 6, a11 = -4, a12 = 1, a13 = -3, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -1, a33 = -1, b12 = -1, b13 = -8, b23 = -8
k1 = 1, k2 = 4, k3 = 6, a11 = -4, a12 = 0, a13 = -3, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -2, a33 = -1, b12 = -1, b13 = -8, b23 = -8
